year,n,mean,ci_lo,ci_hi,metric,variant
1995,67,0.29850746268656714,0.19402985074626866,0.40298507462686567,heartbreak_share,unweighted_complete_case
1996,71,0.352112676056338,0.23943661971830985,0.4651408450704222,heartbreak_share,unweighted_complete_case
1997,72,0.3472222222222222,0.25,0.4444444444444444,heartbreak_share,unweighted_complete_case
1998,61,0.4262295081967213,0.29508196721311475,0.5409836065573771,heartbreak_share,unweighted_complete_case
1999,62,0.3387096774193548,0.24193548387096775,0.46774193548387094,heartbreak_share,unweighted_complete_case
2000,62,0.45161290322580644,0.3225806451612903,0.5806451612903226,heartbreak_share,unweighted_complete_case
2001,60,0.23333333333333334,0.13333333333333333,0.3333333333333333,heartbreak_share,unweighted_complete_case
2002,56,0.44642857142857145,0.32142857142857145,0.5892857142857143,heartbreak_share,unweighted_complete_case
2003,64,0.359375,0.25,0.484375,heartbreak_share,unweighted_complete_case
2004,58,0.41379310344827586,0.29310344827586204,0.5517241379310345,heartbreak_share,unweighted_complete_case
2005,53,0.3584905660377358,0.22641509433962265,0.49056603773584906,heartbreak_share,unweighted_complete_case
2006,58,0.3275862068965517,0.20689655172413793,0.4482758620689655,heartbreak_share,unweighted_complete_case
2007,61,0.32786885245901637,0.21311475409836064,0.4426229508196721,heartbreak_share,unweighted_complete_case
2008,72,0.25,0.1527777777777778,0.3472222222222222,heartbreak_share,unweighted_complete_case
2009,68,0.3088235294117647,0.20551470588235296,0.4264705882352941,heartbreak_share,unweighted_complete_case
2010,60,0.38333333333333336,0.26666666666666666,0.5166666666666667,heartbreak_share,unweighted_complete_case
2011,67,0.23880597014925373,0.14888059701492537,0.34328358208955223,heartbreak_share,unweighted_complete_case
2012,81,0.2839506172839506,0.18518518518518517,0.38271604938271603,heartbreak_share,unweighted_complete_case
2013,70,0.2714285714285714,0.17142857142857143,0.37142857142857144,heartbreak_share,unweighted_complete_case
2014,69,0.17391304347826086,0.08695652173913043,0.2608695652173913,heartbreak_share,unweighted_complete_case
2015,63,0.20634920634920634,0.1111111111111111,0.30158730158730157,heartbreak_share,unweighted_complete_case
2016,59,0.3050847457627119,0.2033898305084746,0.423728813559322,heartbreak_share,unweighted_complete_case
2017,59,0.3050847457627119,0.1864406779661017,0.423728813559322,heartbreak_share,unweighted_complete_case
2018,71,0.30985915492957744,0.2109154929577465,0.4084507042253521,heartbreak_share,unweighted_complete_case
2019,57,0.2631578947368421,0.15789473684210525,0.3684210526315789,heartbreak_share,unweighted_complete_case
2020,61,0.32786885245901637,0.21311475409836064,0.4426229508196721,heartbreak_share,unweighted_complete_case
2021,64,0.46875,0.34375,0.59375,heartbreak_share,unweighted_complete_case
2022,62,0.3709677419354839,0.25766129032258067,0.5,heartbreak_share,unweighted_complete_case
2023,65,0.38461538461538464,0.27692307692307694,0.5076923076923077,heartbreak_share,unweighted_complete_case
2024,63,0.30158730158730157,0.19047619047619047,0.4126984126984127,heartbreak_share,unweighted_complete_case
2025,75,0.37333333333333335,0.26666666666666666,0.49333333333333335,heartbreak_share,unweighted_complete_case
2026,66,0.3484848484848485,0.24242424242424243,0.48484848484848486,heartbreak_share,unweighted_complete_case
1958,76,0.22065608771961567,0.11499323739705103,0.34535472642540466,devotion_share,weighted_all
1959,79,0.282505405922243,0.17221448236486503,0.3987208444047562,devotion_share,weighted_all
1960,89,0.2183238741062873,0.11791160379472848,0.32221242025467445,devotion_share,weighted_all
1961,106,0.12255633649735527,0.053301442116844774,0.20199408479298744,devotion_share,weighted_all
1962,101,0.21605044920525224,0.12852503127643872,0.3117379201978989,devotion_share,weighted_all
1963,110,0.2715624950261822,0.1772921901422599,0.368013821504487,devotion_share,weighted_all
1964,124,0.299872970286093,0.20406007318386513,0.40039749642887823,devotion_share,weighted_all
1965,114,0.2527800557651304,0.15844673183877336,0.35263956147089004,devotion_share,weighted_all
1966,122,0.14537167011024715,0.07263544374961906,0.2281119414301978,devotion_share,weighted_all
1967,110,0.2235821027892333,0.13336950959768082,0.3207796554706142,devotion_share,weighted_all
